content,date,username,likes,retweets,latitude,longitude
Just tried Coors for the first time and I am in love! #newfavoritebeer #coorsrocks, 2023-04-26 10:00:00+00:00, BeerLover21,10,2,42.9018,-78.8487
Coors Light is my go-to beer for every occasion. #coorslight #refreshing, 2023-04-25 18:20:15+00:00, PartyTime45,15,8,35.4676,-97.5136
There's nothing like cracking open a cold Coors after a long day. #coorsbeer #relaxation, 2023-04-24 21:50:05+00:00, ChillZone7,20,5,41.1918,-73.1954
Just tried Coors Banquet and it's definitely my new favorite beer! #coorsbanquet #delicious, 2023-04-23 14:15:30+00:00, BeerConnoisseur,8,3,30.0687,-89.9288
Nothing beats the smooth taste of Coors Original. #coorsoriginal #smooth, 2023-04-22 19:30:20+00:00, BeerFan99,12,6,32.7817,-97.3474
Coors Light always hits the spot on a hot summer day. #coorslight #refreshing, 2023-04-21 15:40:10+00:00, SummerVibes24,18,10,41.7661,-72.6834
Just had a terrible experience with a warm Coors. Stick to ice-cold cans folks. #coorsbeer #coldisbetter, 2023-04-20 12:10:25+00:00, ColdBeerOnly,5,1,32.1541,-110.8787
Coors is always the perfect addition to any backyard BBQ. #coorsbeer #BBQtime, 2023-04-19 17:55:50+00:00, GrillMaster87,22,7,21.3294,-157.846
Just had a Coors Light after a long run and it was so refreshing! #coorslight #postworkoutdrink, 2023-04-18 08:40:30+00:00, FitnessFanatic,30,15,26.2252,-98.2467
Coors Light is my least favorite beer. Sorry not sorry. #coorslight #notforme, 2023-04-17 21:20:10+00:00, BeerHater,1,0,41.2627,-96.0529
Just had a Coors Light and now I feel like I'm drinking water. #disappointed,2023-04-26 13:15:22+00:00,BeerLover,6,0,31.8476,-106.43
I don't understand why people still drink Coors. It's terrible. #worstbeer,2023-04-25 19:50:10+00:00,BevConnoisseur,3,2,35.1054,-106.6465
Tried a Coors Banquet for the first time in years and it's still just as bad as I remember. #neveragain,2023-04-24 14:22:56+00:00,DrinksOnMe,1,1,43.168,-77.6162
Coors is the only beer that gives me a headache every time I drink it. #neveragain,2023-04-23 20:40:18+00:00,HeadacheFree,0,1,27.3387,-82.5432
I'm pretty sure Coors Light is just water with a hint of beer flavoring. #disgusting,2023-04-22 11:14:08+00:00,Beersnob,4,0,36.783,-119.7939
Coors is so bad I'd rather drink warm PBR. #gross,2023-04-21 17:35:45+00:00,BeerMeister,2,0,36.1283,-95.9042
Just tried the Coors Light Citrus Radler and it's like they took a bad beer and made it worse. #terrible,2023-04-20 13:55:31+00:00,DrinkUp,0,0,40.5961,-75.4756
Coors is the worst beer out there. Hands down. #neveragain,2023-04-19 19:08:17+00:00,HopsEnthusiast,5,3,39.7805,-84.2003
Every time I drink Coors I regret it. Why do I keep doing this to myself? #badchoices,2023-04-18 14:27:02+00:00,BeerRegret,1,0,33.5279,-86.7971
Coors Banquet tastes like it's been sitting in a rusty can for 10 years. #nasty,2023-04-17 21:40:45+00:00,ColdOne,2,0,32.8168,-79.9687
Just tried the new Coors Seltzer and I'm hooked! The flavors are so refreshing. #CoorsSeltzer #SeltzerSeason, 2023-04-28 14:20:07+00:00, SeltzerFan,50,20,26.6443,-81.9957
Can't believe how bad the service was at the Coors Brewery tour. Waited in line for hours and the tour guide was rude. #CoorsBrewery, 2023-04-27 09:10:22+00:00, BreweryTourist,5,0,34.0378,-80.9036
