content,date,username
"Martin Garrix, Julian Jordan &amp; Tinie Tempah - Diamonds (Extended Mix)",2023-04-17 22:50:12+00:00,Blaqhol
Make Up Your Mind - Martin Garrix,2023-04-17 22:36:06+00:00,cVraiRadio
@clementgrx_ @MartinGarrix Luckiest person on this planet!,2023-04-17 22:25:40+00:00,SAMYmakesmusic
“I walk a million miles just to c u smile…. We get high on LIFE till the day we DIE💀.” @MartinGarrix Monday Vibzzzzz #josierosa🌹 https://t.co/9cbzkOXhBu,2023-04-17 21:51:28+00:00,josierosa
#MEGASHUFFLE IS BACK Irene Cara - Flashdance (What a Feeling) - Martin Garrix Mashup - Kastra  Irene Cara | https://t.co/yL6MDpJiSo |#EDM #Remixes #Pop https://t.co/DO7j116DG2,2023-04-17 21:39:05+00:00,AllHitRemixes
Martin Garrix did not have to go that hard,2023-04-17 20:55:03+00:00,JayTheSimp
"Martin Garrix - Animals (Official Video) https://t.co/bNOy1dMOGg via @YouTube 
🤟❤️❤️❤️🤟",2023-04-17 20:52:53+00:00,ns472017
@slimws98 Pizza by Martin Garrix,2023-04-17 19:47:08+00:00,OriTomorrow
Over at Pep Boys for my brakes and they are blasting Martin Garrix on the speakers! You love to see it ❤️,2023-04-17 19:42:45+00:00,hollowedghost_
"Martin at @ultrataiwan! 🔥❤️
.
.
.
#garrix #martingarrix #garrixers #garrixer #martingarrixfans #martingarrixmusic #garrixfamily #teamgarrix #martingarrixfanpage #martingarrixfamily #stmpdrcrds #martingarrixfan #martingarrixshow #martijngarritsen #martingarrixlove #garrixnews… https://t.co/oFe2GzCbzW",2023-04-17 19:21:27+00:00,plusxtimes
@0xpranjal @MartinGarrix bruhh,2023-04-17 19:17:09+00:00,iamswastik23
"Martin at @ultrataiwan! 🔥❤️
.
.
.
#garrix #martingarrix #garrixers #garrixer #martingarrixfans #martingarrixmusic #garrixfamily #teamgarrix #martingarrixfanpage #martingarrixfamily #stmpdrcrds #martingarrixfan #martingarrixshow #martijngarritsen #mar… https://t.co/HazNUyiVVN https://t.co/5jn3oNSukK",2023-04-17 19:06:25+00:00,plusxtimes
"Little do these people know, I grew up with 50 cent and Avicii. Waaay before sub zero project, waay before hardwell, waay before martin garrix. Avicii’s hits are the ones that I grew up with and expanded my music taste. 

The number 1 avicii’s music will always be LEVELS",2023-04-17 19:00:28+00:00,ImpxlerAhfxz
"@0xpranjal @MartinGarrix dudee
that's epic!",2023-04-17 18:49:18+00:00,web3Gurung
"who else missing the radio shows?????
@MartinGarrix 😩",2023-04-17 17:44:19+00:00,raveeelk
