content,date,username,likes,retweets,latitude,longitude
Just cracked open a cold Yuengling and man does it hit the spot after a long day. #yuengling #beerlover,2023-05-01 18:20:32+00:00,beergirl99,10,2,33.2175,-97.1418
Why do people keep trying to compare other beers to Yuengling? There's just no contest. #yuengling #beer,2023-05-01 15:45:21+00:00,beerlover101,5,1,47.6671,-117.433
Yuengling has been my go-to beer for years now. It's just that good. #yuenglingfan, 2023-04-23 11:21:59+00:00, BeersAndCheers,8,4,37.7904,-122.2166
Had a really bad experience with a bartender who didn't know what Yuengling was. #yuenglingfail, 2023-04-22 16:37:50+00:00, BeerSnob,2,1,40.042,-76.3012
Finally found Yuengling at a local store and it's just as good as I remember from my east coast days. #yuenglingnostalgia, 2023-04-21 13:50:11+00:00, WestCoastYuengling,6,3,41.695,-73.9211
Trying to cut back on my beer intake but it's hard when Yuengling is so damn good. #addictedtoyuengling, 2023-04-20 19:02:30+00:00, TryingToBeHealthy,4,1,43.6005,-116.2308
I used to love Yuengling but their recent quality control issues have really turned me off. #disappointed,2023-04-26 21:30:12+00:00,Exbeerlover,5,2,36.1029,-80.261
Had a terrible experience with a flat Yuengling. Nothing worse than a bad beer. #yuenglingdisappointment, 2023-04-19 22:30:15+00:00, BeerConnoisseur,3,1,43.0407,-76.1437
Yuengling and football the perfect combination. #gameday #yuenglingandfootball, 2023-04-18 16:45:28+00:00, SportsFanatic,20,12,33.3645,-82.0708
Just tried Yuengling's seasonal Oktoberfest brew and it's amazing. Can't wait for fall to officially start. #yuenglingoktoberfest, 2023-04-17 14:32:11+00:00, BeerSeason,12,4,37.9765,-121.3109
"Just had the worst Yuengling ever. Tasted like stale water. Never again. #disappointed"" ", 2023-05-03 16:21:45+00:00, BeerLover85,1,0,29.5389,-81.2457
Just tried the new Yuengling flight and I'm in love. Such a great way to try all their amazing brews! #yuengling #beerflight,2023-04-30 20:10:43+00:00,craftbeerfan,15,5,35.066,-85.2481
I don't care what anyone says Yuengling is the best beer out there. #yuengling #beerlover,2023-04-30 13:30:10+00:00,beerguy82,20,8,28.3041,-81.4169
Tried a new beer today and it just wasn't the same as my beloved Yuengling. #yuengling #beerlover,2023-04-29 16:55:08+00:00,beerconnoisseur,2,0,35.9792,-78.9022
It's hard to find good beer in the south but Yuengling never disappoints. #yuengling #beerlover,2023-04-29 12:15:32+00:00,southernbeergirl,8,3,32.6998,-97.125
Yuengling has been my go-to beer for years. It's just the perfect balance of flavor and drinkability. #yuengling #beer,2023-04-28 19:40:21+00:00,beernerd101,12,4,34.5277,-117.3536
"Yuengling used to be my favorite beer but now it tastes like they've changed the recipe. It's just not the same anymore."" ", 2023-04-24 09:10:33+00:00, BeerLover123,3,1,39.7083,-104.7237
