content,date,username,likes,retweets
@stokerman1 @SportingKC @budlight True,2023-03-05 22:05:56+00:00,DuhItsMegan1,0,0
@guhsie1 @CodyStand2 bud light and fat bitches,2023-03-05 21:57:41+00:00,DOAConvict,0,0
Bud. Light. Bitch.,2023-03-05 21:57:28+00:00,bushposter,1,0
#NowPlaying Bud Light Alma de la Fiesta by L&amp;F Distributors Laredo   https://t.co/2e4xKjVBWP https://t.co/exsBuhfnFm,2023-03-05 21:52:27+00:00,TheCrue103_1FM,0,0
@ckestel Miss it a lot. Feel like Bradley vs Drake while being a great matchup definitely has a lot less Bud lights and screwdrivers consumed in the town of St. Louie.,2023-03-05 21:49:03+00:00,DCOssowski,0,0
@NickAdamsinUSA Bud Light Platinum 😎,2023-03-05 21:43:34+00:00,RevAMDean,0,0
@GI_Joe317 @budlight I prefer a #NYSlice of pizza,2023-03-05 21:42:15+00:00,TrashyStoner,0,0
@rileycollins__ Bud light can’t melt steel beams thou,2023-03-05 21:37:29+00:00,edmontoncoiler1,1,0
@MaygenHal @youLoveTheCity I can attest to this!!! I used to drink BudLight Plats and I saw me getting a gut… I immediately stopped drinking.,2023-03-05 21:36:24+00:00,ayee_adriannn,1,0
@budweiserusa Bud light please,2023-03-05 21:33:18+00:00,stditka,0,0
I'm sorry but who said Quinny was legal and allowed to drink budlight??? https://t.co/IbO7LNDO5n,2023-03-05 21:32:58+00:00,beauboesnbarzy,8,0
@budlight I’m glad somebody does! 🤣,2023-03-05 21:31:22+00:00,mickeymouse2368,0,0
27 bucks for a case of bud light?!? I quit drinking!,2023-03-05 21:29:44+00:00,ZachMasker,0,0
@budlight Signing in Captain,2023-03-05 21:29:22+00:00,ddconne,0,0
@budweiserusa Two 24 packs of @budlight please 🤙🏼,2023-03-05 21:29:06+00:00,Jakedrummer1993,0,0
@NickAdamsinUSA Good ole Bud Light!,2023-03-05 21:28:51+00:00,konostramus,0,0
me querían cobrar una budlight ????,2023-03-05 21:27:35+00:00,jennirmz91,0,0
@PartyPig92 @KG_Chief @kkhasissues Lmfaooo. Those bud light limes kick.,2023-03-05 21:26:03+00:00,ChiefsfanCHI23,0,0
@JuliusIrvington Bud light specifically,2023-03-05 21:21:45+00:00,dont_cope,1,0
@uncensoredpromo Bud lights are 2 cases for 10$ 🥴,2023-03-05 21:12:03+00:00,Domino_McCloud,0,0
@budweiserusa Bud Light with Lime please! #ilikebeer,2023-03-05 21:10:09+00:00,nhsongwriter,1,0
@budweiserusa Budlight -aisle 2 please!,2023-03-05 21:09:32+00:00,kristinrocksu2,0,0
@budlight https://t.co/1Z460W5cUF,2023-03-05 21:04:55+00:00,jharleyd12,0,0
I may be a drunk cuz the only seltzers I like are the white claw surges cuz and bud light platinums cuz they 10% Lmfao,2023-03-05 20:56:14+00:00,DA__LANDL0RD,1,0
"my favorite part of okee was hearing people dig through my “ take one, leave one” box throughout the day and night :,) 

things I saw… budlight, stickers, candy, cigs, lighters, whistles, uncrustable, fans, whiteclaws, lanyards, body chains, squishys, finger puppets, bud…",2023-03-05 20:54:57+00:00,dnb_txmilf,6,0
@NickAdamsinUSA Bud Light,2023-03-05 20:53:01+00:00,DoublePatriot,0,0
"@holly_sonders You and myself. Tee it up, $50 Nassau and a cooler of Bud Light.",2023-03-05 20:52:23+00:00,JediJohnson64,0,0
@budlight Thx I needed that sign! 🤣,2023-03-05 20:51:38+00:00,mickeymouse2368,0,0
Got a cold @budlight in my @atticaracewyprk can cozy made me a couple @SPAMbrand sandwiches ready for the @NASCAR race on @NASCARONFOX let get win @allyracing @Alex_Bowman @TeamHendrick #NASCAR75 #Pennzoil400 https://t.co/kMdo3Xbbx5,2023-03-05 20:49:54+00:00,jamesminor88,0,0
@budlight ✅️ https://t.co/IRy7lS2cyw,2023-03-05 20:43:02+00:00,coryawalton,0,0
"@IamBohhi Depends on whether or not you're in a city, and which specific city. But the important bits are Whataburger &gt; In-N-Out Burger, Shiner Bock &gt; Bud Light, and Buc-ee's &gt; everything else. Also chili has no beans and brisket is the king of barbecue. That should keep you out of trouble",2023-03-05 20:42:33+00:00,Earl_of_Bronze,2,0
"@KylesArtillery @PfefferFeff @JeremyPaul71 @CBJectivelyPod @614Hockey I apologize. Yeah ultra over bud light for sure. There u have it, BHK was right again",2023-03-05 20:40:09+00:00,BSBeef,1,0
@BraxtonWolf_ Bud light platinum,2023-03-05 20:38:32+00:00,KerceWill,2,0
@Free_BWes Lmaoooo I just knew you were fulla bud lights,2023-03-05 20:38:16+00:00,mr_extRODinary,0,0
@AustinFC @budlight Where can I live stream the game for free locally?,2023-03-05 20:34:06+00:00,nutakins,0,0
Bud Light with a ZYN Peppermint pouch dipped inside,2023-03-05 20:33:35+00:00,Soonersby90,1,0
"the front door of this spoons must have actually been a portal to hell, because all they have left on tap is bud light and coors",2023-03-05 20:30:40+00:00,maidotsuki,3,0
"10+yrs ago pull'n late shift @ an Irish Bar in the Baltimore Inner Harbor I cracked open a @budlight and handed it to a stocky jolly guy with a permanent smile &amp; a pretty cool voice! 

ovr the yrs we shared many more smiles, many more late night and many more beers #RIPDaveWills",2023-03-05 20:26:20+00:00,LTPShow,0,0
@budlight I'm a recovering alcoholic...but ok,2023-03-05 20:25:40+00:00,jumbojaxncdylax,0,0
@crowboyofficial i would say bud light because its funny but whats the most mcr coded beverage,2023-03-05 20:25:16+00:00,florxlandfading,1,0
Bud light,2023-03-05 20:20:51+00:00,mhanry_hanry,0,0
@AraVargas3 Si pura bud light,2023-03-05 20:16:53+00:00,Omar39416688,0,0
@zydecoop @kkhasissues @nbcsnl Hurr-dee-duurrrrr Bud Light Limes!!!,2023-03-05 20:16:38+00:00,LophDaddy,0,0
@CB34sGolfSwing what a phony! she doesn’t even like Bud Light https://t.co/bWXFo7juZa,2023-03-05 20:15:02+00:00,Ray_in_SA,0,0
"Beer reviews: a light crisp but surprisingly an aggressive amount of hops with a faint taste of a lemon or a grapefruit which creates a buttery flavor. 

Me: so is it like a Bud light or an IPA?",2023-03-05 20:12:38+00:00,WobbyBells,0,0
@BSBeef @PfefferFeff @JeremyPaul71 @CBJectivelyPod @614Hockey It was either that or bud light. Pick your poison type of situation.,2023-03-05 20:03:41+00:00,KylesArtillery,0,0
@oiltrsh @DextersGarden @ShaqsGrowing To light up bud?! https://t.co/59DwUF4Ghi,2023-03-05 20:02:56+00:00,SportsPhan182,1,0
"🐳 Top Whale SELLS🔻 (Last hour):

Owls: 12 (avg: 0.34 Ξ)
Opepen Edition: 2 (avg: 0.83 Ξ)
say gm: 2 (avg: 0.02 Ξ)
Bud Light N3XT Collection: 1 (avg: 0.04 Ξ)
MEMEASF Mint Pass: 1 (avg: 0.02 Ξ)",2023-03-05 20:02:06+00:00,nftflooralerts,1,0
"Bud Light Vs Natural Light – Taste, ABV, Calories, Carbs, Ingredients Check out the full article for more! https://t.co/WdkMbPmUGA #tastingnotes https://t.co/aNdbR1GUb5",2023-03-05 20:02:06+00:00,LTHomebrew,0,0
"@budweiserusa Bud light lime always hits the spot, a few would be nice lol please and thank you",2023-03-05 20:01:29+00:00,bagosheet2,1,0
@budlight Well….I’m waiting. #beerme https://t.co/qeV8d1mfL6,2023-03-05 20:01:06+00:00,tongerupnorth,0,0
@AGHuff Is that a bud light in your hand? Haha 😄 hope you have a beer cozy out there for your hands,2023-03-05 19:58:27+00:00,NuclearDystopia,1,0
